Date - Time,Lat,Long,Depth,Mag,Location
30 November 2018 - 09:48 PM,5.71,126.13,76,2.5,060 km S 71° E of Jose Abad Santos (Davao Occidental)
30 November 2018 - 09:13 PM,9.75,126.26,25,2.5,012 km S 70° E of General Luna (Surigao Del Norte)
30 November 2018 - 09:12 PM,8.86,122.42,32,2.2,066 km S 22° W of Basay (Negros Oriental)
30 November 2018 - 08:35 PM,13.89,120.4,67,2,025 km N 41° E of Looc (Occidental Mindoro)
30 November 2018 - 08:16 PM,7.93,126.41,22,2.1,016 km N 17° W of Cateel (Davao Oriental)
30 November 2018 - 07:03 PM,5.75,126.55,48,2.8,104 km S 81° E of Jose Abad Santos (Davao Occidental)
30 November 2018 - 06:00 PM,9.89,126.54,23,2.7,044 km N 74° E of General Luna (Surigao Del Norte)
30 November 2018 - 04:54 PM,13.02,121.36,26,2.2,007 km S 50° W of Socorro (Oriental Mindoro)
30 November 2018 - 04:54 PM,18.35,121.86,33,2,007 km N 18° E of Buguey (Cagayan)
30 November 2018 - 04:09 PM,14.78,120.13,21,2.1,015 km S 48° E of Subic (Zambales)
30 November 2018 - 03:16 PM,5.85,125.79,108,2.7,020 km S 80° E of Jose Abad Santos (Davao Occidental)
30 November 2018 - 02:23 PM,12.5,122.23,9,2.8,009 km S 25° W of Romblon (Romblon)
30 November 2018 - 01:44 PM,10.08,125.33,36,2.7,018 km N 30° E of Pintuyan (Southern Leyte)
30 November 2018 - 12:18 PM,9.05,126.34,3,2.8,011 km N 34° E of Bayabas (Surigao del Sur)
30 November 2018 - 11:16 AM,10.07,126.23,19,3.5,018 km N 71° E of Burgos (Surigao del Norte)
30 November 2018 - 05:19 AM,4.89,126.61,60,2.6,139 km S 65° E of Sarangani (Davao Occidental)
30 November 2018 - 05:16 AM,7.18,126,30,2.1,012 km N 76° E of Pantukan (Compostela Valley)
30 November 2018 -02:18 AM,10.33,126.67,9,3,074 km N 62° E of Burgos (Surigao Del Norte)
30 November 2018 - 01:05 AM,3.97,126.75,102,4.2,215 km S 41° E of Sarangani (Davao Occidental)
30 November 2018 - 12:28 AM,4.6,125.42,146,2.6,092 km S 04° W of Sarangani (Davao Occidental)
30 November 2018 - 12:07 AM,6.23,126.96,194,2.4,106 km S 32° E of Tarragona (Davao Oriental)
29 November 2018 - 08:52 PM,9.91,126.11,11,2.6,004 km S 34° E of San Isidro (Surigao del Norte)
29 November 2018 - 07:56 PM,13.85,120.32,18,2.5,022 km S 89° E of Lubang (Occidental Mindoro)
