Date - Time,Lat,Long,Depth,Mag,Location,
31 December 2019 - 10:07 PM,11.44,124.83,113,2,002 km N 39° W of Babatngon (Leyte),
31 December 2019 - 09:22 PM,6.74,125.14,7,2.2,009 km S 57° W of Bansalan (Davao Del Sur),
31 December 2019 - 09:15 PM,7.57,124.84,32,2.1,009 km S 71° W of Kadingilan (Bukidnon),
31 December 2019 - 08:11 PM,13.28,121.84,33,1.5,005 km S 10° W of Gasan (Marinduque),
31 December 2019 - 08:09 PM,6.61,125.23,11,2.5,005 km S 17° E of Kiblawan (Davao Del Sur),
31 December 2019 - 07:31 PM,6.9,125.08,8,2.1,007 km S 08° W of Makilala (Cotabato),
31 December 2019 - 06:52 PM,6.72,125.13,10,2.7,011 km N 53° W of Kiblawan (Davao Del Sur),
31 December 2019 - 06:45 PM,9.16,126.26,19,2.1,011 km N 40° E of Tandag (Surigao Del Sur),
31 December 2019 - 05:25 PM,6.82,125.13,10,2.5,009 km N 70° W of Bansalan (Davao Del Sur),
31 December 2019 - 01:56 PM,19.31,121.1,38,1.6,038 km N 86° W of Calayan (Cagayan),
31 December 2019 - 12:29 PM,6.62,124.95,25,2,008 km N 02° E of Lutayan (Sultan Kudarat),
31 December 2019 - 11:35 AM,6.74,124.9,27,2.6,007 km S 71° E of Datu Paglas (Maguindanao),
31 December 2019 - 10:34 AM,6.5,125.23,21,2,017 km S 51° W of Sulop (Davao Del Sur),
31 December 2019 - 09:59 AM,6.78,125.21,2,2.9,007 km N 03° W of Magsaysay (Davao Del Sur),
31 December 2019 - 09:45 AM,13.64,123.52,25,2,006 km S 05° E of San Jose (Camarines Sur),
31 December 2019 - 09:08 AM,6.15,125.12,23,2.2,007 km N 46° W of General Santos City (South Cotabato),
31 December 2019 - 08:32 AM,6.65,125.06,24,2.8,019 km S 69° W of Magsaysay (Davao Del Sur),
31 December 2019 - 08:16 AM,15.84,121.76,14,2.3,023 km N 68° E of Baler (Aurora),
31 December 2019 - 06:58 AM,6.58,125.23,29,2.4,008 km S 09° E of Kiblawan (Davao Del Sur),
31 December 2019 - 05:59 AM,6.71,125.2,16,2.3,002 km S 74° W of Magsaysay (Davao Del Sur),
