Date - Time,Lat,Long,Depth,Mag,Location
31 January 2019 - 02:55 PM,9.64,122.21,6,2.7,025 km S 58° W of Sipalay (Negros Occidental)
31 January 2019 - 12:13 PM,8.44,126.61,24,3.7,031 km N 76° E of Hinatuan (Surigao Del Sur)
31 January 2019 - 11:38 AM,9.81,126.44,7,2.9,032 km N 85° E of General Luna (Surigao Del Norte)
31 January 2019 - 09:05 AM,5.45,126.06,53,2.2,066 km N 88° E of Sarangani (Davao Occidental)
31 January 2019 - 07:14 AM,5.85,126.16,15,2.7,060 km S 87° E of Jose Abad Santos (Davao Occidental)
31 January 2019 - 06:13 AM,11.5,126,1,2.8,046 km N 65° E of Hernani (Eastern Samar)
31 January 2019 - 06:04 AM,14.44,124.23,2,1.8,044 km N 10° E of Pandan (Catanduanes)
31 January 2019 - 05:02 AM,10.62,125.27,27,2.3,026 km N 19° E of Hinundayan (Southern Leyte)
31 January 2019 - 04:37 AM,10.36,125.18,26,2.2,004 km S 22° W of Hinunangan (Southern Leyte)
31 January 2019 - 04:06 AM,9.77,126.24,14,2.1,009 km S 836° E of General Luna (Surigao Del Norte)
31 January 2019 - 03:52 AM,18.06,122.39,14,3,047 km S 62° E of Gonzaga (Cagayan)
31 January 2019 - 03:44 AM,14.94,120.03,48,1.6,006 km S 80° W of San Antonio (Zambales)
31 January 2019 - 03:38 AM,6.44,126.12,140,2.2,024 km S 13° E of Governor Generoso (Davao Oriental)
31 January 2019 - 02:40 AM,14.07,120.43,120,2.2,022 km S 87° W of Nasugbu (Batangas)
31 January 2019 - 01:40 AM,10.73,125.11,6,2.5,011 km N 81S° E of Abuyog (Leyte)
31 January 2019 - 12:55 AM,5.92,126.12,134,3.4,056 km S 57° E of Don Marcelino (Davao Occidental)
31 January 2019 - 12:29 AM,9.75,126.38,11,2.4,025 km S 81° E of General Luna (Surigao Del Norte)
31 January 2019 - 12:01 AM,10.37,125.11,1,3,010 km S 72° W of Hinundayan (Southern Leyte)
30 January 2019 - 11:49 PM,12.91,122.87,26,2.9,027 km S 24° W of San Pascual (Masbate)
30 January 2019 - 11:40 PM,9.7,126.35,7,2.7,023 km S 67° E of General Luna (Surigao Del Norte)
30 January 2019 - 09:47 PM,9.71,126.51,10,3.5,040 km S 78° E of General Luna (Surigao Del Norte)
30 January 2019 - 09:40 PM,9.48,126.43,18,1.7,035 km N 50° E of Cortes (Surigao Del Sur)
30 January 2019 - 09:36 PM,15.07,119.51,33,1.8,058 km S 60° W of Iba (Zambales)
30 January 2019 - 09:24 PM,7.96,125.12,32,1.5,006 km N 21° E of Valencia City (Bukidnon)
30 January 2019 - 09:19 PM,9.71,126.51,8,2.4,039 km S 79° E of General Luna (Surigao Del Norte)
30 January 2019 - 08:07 PM,14.03,120.38,67,1.7,027 km S 78° W of Nasugbu (Batangas)
30 January 2019 - 08:00 PM,14.63,120.52,131,1.6,006 km S 23° W of Balanga City (Bataan)
30 January 2019 - 07:57 PM,11.41,121.37,4,2.2,061 km S 18° W of Caluya (Antique)
30 January 2019 - 07:46 PM,9.78,126.43,17,2.8,030 km S 88° E of General Luna (Surigao Del Norte)
30 January 2019 - 07:30 PM,15.39,120.67,32,2.2,007 km N 14° E of Concepcion (Tarlac)
30 January 2019 - 05:56 PM,14.88,120.05,61,2.9,009 km S 31° W of San Antonio (Zambales)
30 January 2019 - 05:41 PM,9.76,126.15,28,2.7,003 km S 25° W of General Luna (Surigao Del Norte)
30 January 2019 - 05:28 PM,9.82,126.63,6,4.4,052 km N 86° E of General Luna (Surigao Del Norte)
30 January 2019 - 05:12 PM,9.77,126.14,29,2,002 km S 48° W of General Luna (Surigao Del Norte)
30 January 2019 - 04:24 PM,10.34,125.26,10,2,001 km S 36° E of Hinundayan (Southern Leyte)
30 January 2019 - 03:43 PM,17.55,122.48,33,3.2,031 km N 38° E of Divilacan (Isabela)
30 January 2019 - 03:01 PM,17.54,122.41,30,3.5,025 km N 27° E of Divilacan (Isabela)
30 January 2019 - 01:17 PM,6.44,125.57,194,2.3,005 km N 62° W of Malita (Davao Occidental)
30 January 2019 - 11:27 AM,11.49,125.9,5,4.8,036 km N 60° E of Hernani (Eastern Samar)
30 January 2019 - 11:04 AM,19.22,121.12,18,2.3,037 km S 79° W of Calayan (Cagayan)
30 January 2019 - 10:21 AM,11.48,126.61,14,2.7,011 km N 84° E of Balangkayan (Eastern Samar)
30 January 2019 - 08:27 AM,9.75,126.53,19,4,039 km N 90° E of General Luna (Surigao Del Norte)
30 January 2019 - 07:21 AM,9.72,126.48,12,2.8,036 km S 78° E of General Luna (Surigao Del Norte)
30 January 2019 - 06:48 AM,10.25,125.45,20,2.6,011 km N 57° W of Libjo (Surigao Del Norte)
30 January 2019 - 06:41 AM,12.81,124.73,21,2.3,033 km N 05° W of Mondragon (Northern Samar)
30 January 2019 - 01:03 AM,18.18,120.41,36,2.6,019 km N 21° W of Currimao (Ilocos Norte)
30 January 2019 - 12:17 AM,12.23,124.23,2,3,015 km S 67° E of San Vicente (Northern Samar)
30 January 2019 - 12:12 AM,9.98,122.99,29,1.9,006 km N 75° E of Mabinay (Negros Oriental)
29 January 2019 - 11:33 PM,10.77,124.95,2,2.5,003 km S 25° E of Javier (Bugho) (Leyte)
29 January 2019 - 11:04 PM,16.81,119.91,24,2,048 km N 79° W of Bacnotan (La Union)
