Date - Time,Lat,Long,Depth,Mag,Location
31 July 2019 - 09:31 PM,12.96,124.71,8,3.6,049 km N 51° E of Biri (Northern Samar)
31 July 2019 - 08:11 PM,5.67,125.93,173,2.5,043 km S 56° E of Jose Abad Santos (Davao Occidental)
31 July 2019 - 08:06 PM,-,-,-,1.6,062 km from Basco (Batanes)
31 July 2019 - 02:00 PM,14.76,120.06,32,1.6,021 km S 09° W of San Antonio (Zambales)
31 July 2019 - 09:18 AM,8.95,125.71,15,3.2,014 km N 01° E of Sibagat (Agusan Del Sur)
31 July 2019 - 08:43 AM,18.52,120.69,33,2.2,005 km N 80° E of Burgos (Ilocos Norte)
31 July 2019 - 07:59 AM,6.46,126.75,59,2.6,073 km S 27° E of Tarragona (Davao Oriental)
31 July 2019 - 07:49 AM,18.17,120.66,33,2.1,008 km S 70° E of Laoag City (Ilocos Norte)
31 July 2019 - 07:20 AM,10.25,125.28,31,2.2,004 km S 42° E of Anahawan (Southern Leyte)
31 July 2019 - 04:47 AM,5.58,126.58,33,2.8,112 km S 73° E of Jose Abad Santos (Davao Occidental)
31 July 2019 - 04:28 AM,5.78,126.98,114,2.6,140 km S 46° E of Governor Generoso (Davao Oriental)
31 July 2019 - 03:58 AM,5.42,127.28,117,3.5,192 km S 45° E of Governor Generoso (Davao Oriental)
31 July 2019 - 03:40 AM,3.73,125.52,21,3.6,188 km S 02° E of Sarangani (Davao Occidental)
31 July 2019 - 03:18 AM,20.62,121.86,11,3.5,020 km S 05° E of Itbayat (Batanes)
31 July 2019 - 02:53 AM,3.63,126.52,24,3,231 km S 30° E of Sarangani (Davao Occidental)
31 July 2019 - 02:44 AM,3.5,126.47,20,3.6,241 km S 27° E of Sarangani (Davao Occidental)
31 July 2019 - 01:56 AM,8.92,126.35,20,2.2,005 km S 89° E of Cagwait (Surigao Del Sur)
31 July 2019 - 01:51 AM,6.5,125.97,140,2.8,021 km S 34° W of Governor Generoso (Davao Oriental)
31 July 2019 - 01:48 AM,18.5,120.89,22,2,005 km N 37° W of Adams (Ilocos Norte)
31 July 2019 - 01:13 AM,20.55,121.94,18,2.7,028 km S 19° E of Itbayat (Batanes)
31 July 2019 - 01:04 AM,13.1,124.2,10,2.8,005 km N 03° E of Prieto Diaz (Sorsogon)
31 July 2019 - 12:18 AM,20.72,121.89,19,2.7,009 km S 30° E of Itbayat (Batanes)
30 July 2019 - 11:55 PM,9.84,126.53,8,2.5,042 km N 81° E of General Luna (Surigao Del Norte)
30 July 2019 - 11:11 PM,7.86,124.69,2,3.5,016 km N 30° W of Kalilangan (Bukidnon)
30 July 2019 - 09:23 PM,-,-,-,1.5,044 km from Basco (Batanes)
30 July 2019 - 09:22 PM,-,-,-,1.4,049 km from Basco (Batanes)
30 July 2019 - 09:02 PM,5.36,125.68,195,3.5,024 km S 71° E of Sarangani (Davao Occidental)
30 July 2019 - 08:40 PM,20.68,122,21,2.2,021 km S 51° E of Itbayat (Batanes)
30 July 2019 - 07:55 PM,5.54,126.66,49,2.5,122 km S 72° E of Jose Abad Santos (Davao Occidental)
30 July 2019 - 05:27 PM,-,-,-,1.6,061 km from Basco (Batanes)
30 July 2019 - 12:03 PM,20.75,121.75,9,2.4,011 km S 63° W of Itbayat (Batanes)
30 July 2019 - 11:43 AM,-,-,-,1.4,051 km from Basco (Batanes)
30 July 2019 - 10:03 AM,8.73,126.24,28,2.3,010 km S 39° W of Marihatag (Surigao Del Sur)
30 July 2019 - 09:42 AM,12.82,120.95,11,3.4,026 km N 02° E of Calintaan (Occidental Mindoro)
30 July 2019 - 08:43 AM,12.82,120.91,7,2.8,015 km S 86° E of Sablayan (Occidental Mindoro)
30 July 2019 - 08:20 AM,4.71,126.81,1,3.4,169 km S 62° E of Sarangani (Davao Occidental)
30 July 2019 - 07:05 AM,11.99,124.78,107,2.4,009 km N 66° E of Pagsanghan (Western Samar)
