Date - Time,Lat,Long,Depth,Mag,Location
31 March 2019 - 11:29 PM,9.02,125.57,21,2.5,005 km S 81° E of Magallanes (Agusan Del Norte)
31 March 2019 - 11:11 PM,13.95,122.95,8,2.1,017 km N 15° E of Lupi (Camarines Sur)
31 March 2019 - 10:02 PM,9.87,125.37,14,3.7,016 km N 57° W of Surigao City (Surigao Del Norte)
31 March 2019 - 09:44 PM,5.07,126.8,86,3.9,159 km S 55° E of Jose Abad Santos (Davao Occidental)
31 March 2019 - 09:36 PM,13.4,123.53,29,1.8,004 km S 49° E of Buhi (Camarines Sur)
31 March 2019 - 06:54 PM,10.65,122.27,12,1.9,004 km N 71° E of Miagao (Iloilo)
31 March 2019 - 06:35 PM,15.47,120.03,24,2.5,014 km N 76° E of Palauig (Zambales)
31 March 2019 - 05:56 PM,13.27,123.33,32,2.3,016 km S 57° E of Bacatan (Balatan) (Camarines Sur)
31 March 2019 - 01:00 PM,20.49,120.54,33,3.5,140 km S 76° W of Itbayat (Batanes)
31 March 2019 - 12:58 PM,10.62,126.26,22,2.4,070 km N 17° E of Burgos (Surigao Del Norte)
31 March 2019 - 11:32 AM,4.07,126.24,165,3.4,174 km S 30° E of Sarangani (Davao Occidental)
31 March 2019 - 11:22 AM,18.72,120.7,27,2.7,018 km N 33° W of Pagudpud (Ilocos Norte)
31 March 2019 - 10:54 AM,9.26,126.17,33,1.7,003 km S 63° W of Cortes (Surigao Del Sur)
31 March 2019 - 10:31 AM,8.84,123.15,13,2.6,029 km S 27° E of Siaton (Negros Oriental)
31 March 2019 - 10:08 AM,14.06,122.57,32,1.5,024 km S 59° E of Santa Elena (Camarines Norte)
31 March 2019 - 09:58 AM,6.17,124.56,12,2.7,010 km S 42° E of Maitum (Sarangani)
31 March 2019 - 09:55 AM,19.14,121.11,29,2.5,040 km S 67° W of Calayan (Cagayan)
31 March 2019 - 09:49 AM,14.64,120.09,25,2.6,020 km S 75° W of Morong (Bataan)
31 March 2019 - 08:28 AM,8.51,122.81,27,2.1,024 km N 77° W of Jose Dalman (Ponot) (Zamboanga Del Norte)
31 March 2019 - 07:31 AM,10.18,125.23,32,1.7,010 km S 18° W of Anahawan (Southern Leyte)
31 March 2019 - 07:27 AM,14.04,121.96,33,2.3,007 km N 49° E of Atimonan (Quezon)
31 March 2019 - 07:08 AM,13.78,120.97,112,1.8,005 km N 41° E of Mabini (Batangas)
31 March 2019 - 05:56 AM,8.96,126.51,19,3.5,024 km N 79° E of Cagwait (Surigao Del Sur)
31 March 2019 - 05:00 AM,10.27,125.26,1,2.9,001 km S 33° E of Anahawan (Southern Leyte)
31 March 2019 - 05:00 AM,13.54,120.23,27,2.1,020 km S 05° W of Looc (Occidental Mindoro)
31 March 2019 - 04:30 AM,10.17,125.29,34,2,012 km S 17° E of Anahawan (Southern Leyte)
31 March 2019 - 04:17 AM,11.05,126.16,24,2.2,048 km N 88° E of Guiuan (Eastern Samar)
31 March 2019 - 03:42 AM,7.15,126.52,143,3.2,008 km S 12° W of Manay (Davao Oriental)
31 March 2019 - 03:09 AM,15.11,120.21,78,2.5,016 km N 68° E of San Felipe (Zambales)
31 March 2019 - 03:05 AM,13.42,123.51,21,2,012 km N 85° E of Iriga City (Camarines Sur)
31 March 2019 - 03:04 AM,9.59,126.22,17,1.8,023 km S 18° E of General Luna (Surigao Del Norte)
31 March 2019 - 01:27 AM,5.9,126.01,21,2,044 km N 87° E of Jose Abad Santos (Davao Occidental)
31 March 2019 - 01:19 AM,7.58,122.41,1,1.3,002 km S 41° W of Tungawan (Zamboanga Del Sur)
31 March 2019 - 01:18 AM,7.63,122.05,21,2.2,011 km S 40° W of Siocon (Zamboanga Del Norte)
31 March 2019 - 12:57 AM,12.81,122.96,11,2.1,033 km S 73° W of Claveria (Masbate)
30 March 2019 - 11:45 PM,15.13,119.84,28,1.7,024 km S 81° W of Cabangan (Zambales)
30 March 2019 - 10:49 PM,5.74,126,97,1.9,046 km S 69° E of Jose Abad Santos (Davao Occidental)
30 March 2019 - 10:02 PM,13.58,120.67,95,3.8,016 km N 26° W of Abra De Ilog (Occidental Mindoro)
