Date - Time,Lat,Long,Depth,Mag,Location
31 October 2019 - 11:45 PM,6.88,125.17,39,3.5,013 km S 45° E of Makilala (Cotabato)
31 October 2019 - 11:44 PM,6.85,124.93,17,1.8,011 km S 89° E of Tulunan (Cotabato)
31 October 2019 - 11:43 PM,7.09,125.24,8,1.7,014 km S 85° E of Magpet (Cotabato)
31 October 2019 - 11:41 PM,6.84,124.8,24,2.5,004 km S 64° W of Tulunan (Cotabato)
31 October 2019 - 11:38 PM,6.87,124.95,4,2.2,014 km N 81° E of Tulunan (Cotabato)
31 October 2019 - 11:35 PM,7.07,125.17,27,3.1,015 km N 36° E of Makilala (Cotabato)
31 October 2019 - 11:24 PM,7,125.05,18,2,029 km N 56° E of Tulunan (Cotabato)
31 October 2019 - 11:23 PM,7.14,125.28,26,2.2,029 km N 47° E of Makilala (Cotabato)
31 October 2019 - 11:19 PM,6.75,124.86,29,2,002 km S 71° E of Datu Paglas (Maguindanao)
31 October 2019 - 11:18 PM,6.85,125.17,4,2,015 km S 35° E of Makilala (Cotabato)
31 October 2019 - 11:16 PM,6.9,124.99,23,1.9,019 km N 74° E of Tulunan (Cotabato)
31 October 2019 - 11:11 PM,7.11,125.27,12,2.6,017 km N 85° E of Magpet (Cotabato)
31 October 2019 - 11:09 PM,7.08,125.14,17,3,014 km N 25° E of Makilala (Cotabato)
31 October 2019 - 11:01 PM,7.04,125.14,17,2.9,010 km N 32° E of Makilala (Cotabato)
31 October 2019 - 10:59 PM,6.96,124.9,14,2.8,014 km N 33° E of Tulunan (Cotabato)
31 October 2019 - 10:57 PM,7,125.36,22,2.6,026 km N 03° W of Digos City (Davao Del Sur)
31 October 2019 - 10:56 PM,6.88,125,18,2.3,019 km N 79° E of Tulunan (Cotabato)
31 October 2019 - 10:53 PM,6.84,124.85,24,3.3,002 km S 60° E of Tulunan (Cotabato)
31 October 2019 - 10:44 PM,7.07,125.13,1,2.7,013 km N 18° E of Makilala (Cotabato)
