Date - Time,Lat,Long,Depth,Mag,Location
30 June 2020 - 11:15 PM,4.7,125.37,27,4.4,082†km S 08∞ W of Sarangani (Davao Occidental)
30 June 2020 - 11:14 PM,16.05,119.77,12,2.6,008†km S 25∞ W of Agno (Pangasinan)
30 June 2020 - 11:03 PM,7.99,122.64,15,2.1,015†km S 11∞ W of Liloy (Zamboanga Del Norte)
30 June 2020 - 10:56 PM,7.86,125.15,32,2.1,008†km S 44∞ E of Valencia City (Bukidnon)
30 June 2020 - 10:22 PM,7.24,125.87,43,2.4,010†km N 18∞ W of Pantukan (Davao De Oro)
30 June 2020 - 10:18 PM,9.13,125.81,19,2.1,025†km N 71∞ E of Remedios Romualdez (Agusan Del Norte)
30 June 2020 - 09:38 PM,17.29,120.31,16,2.3,014†km S 87∞ W of Santiago (Ilocos Sur)
30 June 2020 - 09:11 PM,6.34,126.47,54,2.6,056†km S 52∞ E of Governor Generoso (Davao Oriental)
30 June 2020 - 08:21 PM,16.15,122.2,30,2,017†km S 30∞ E of Casiguran (Aurora)
30 June 2020 - 08:05 PM,19.3,121.2,16,3.2,028†km N 87∞ W of Calayan (Cagayan)
30 June 2020 - 05:59 PM,10.15,125.9,21,2.2,021†km N 47∞ W of Santa Monica (Sapao) (Surigao Del Norte)
30 June 2020 - 03:33 PM,16.05,119.78,6,2.2,008†km S 16∞ W of Agno (Pangasinan)
30 June 2020 - 02:10 PM,12.14,124.93,110,2.8,006†km N 64∞ E of San Jose De Buan (Samar)
30 June 2020 - 02:02 PM,10.34,121.97,33,2,011†km S 28∞ E of Anini-y (Antique)
30 June 2020 - 01:45 PM,19.79,121.4,11,3.3,057†km N 07∞ W of Calayan (Cagayan)
30 June 2020 - 12:58 PM,6.61,125.22,28,2.3,005†km S 08∞ E of Kiblawan (Davao Del Sur)
30 June 2020 - 11:20 AM,13.14,123.84,34,2,003†km N 63∞ W of Manito (Albay)
30 June 2020 - 11:00 AM,6.46,126.15,115,2.1,023†km S 20∞ E of Governor Generoso (Davao Oriental)
30 June 2020 - 10:51 AM,10.76,123.1,6,2.2,015†km S 73∞ E of Silay City (Negros Occidental)
30 June 2020 - 09:47 AM,18.41,121.08,22,1.9,019†km S 70∞ E of Adams (Ilocos Norte)
30 June 2020 - 09:11 AM,17.49,120.13,14,2.3,026†km S 67∞ W of Santa Catalina (Ilocos Sur)
30 June 2020 - 08:58 AM,19.02,121.86,26,2.1,051†km S 55∞ E of Calayan (Cagayan)
30 June 2020 - 08:18 AM,18.99,121.78,24,2.3,047†km S 46∞ E of Calayan (Cagayan)
30 June 2020 - 05:51 AM,12.96,121.1,29,2.8,039†km N 69∞ E of Sablayan (Occidental Mindoro)
30 June 2020 - 03:51 AM,15.6,122.02,8,2.6,052†km S 70∞ E of Baler (Aurora)
30 June 2020 - 02:46 AM,15.65,122.1,23,2.2,057†km S 16∞ E of Dinalungan (Aurora)
30 June 2020 - 02:02 AM,9.75,122.72,1,2.1,015†km S 62∞ E of Candoni (Negros Occidental)
30 June 2020 - 12:53 AM,18.7,120.92,26,3,019†km N 46∞ E of Pagudpud (Ilocos Norte)
30 June 2020 - 12:49 AM,14.19,119.14,33,2.9,112†km N 71∞ W of Lubang (Occidental Mindoro)
30 June 2020 - 12:35 AM,7.31,123.62,62,1.9,028†km S 56∞ E of Tabina (Zamboanga Del Sur)
30 June 2020 - 12:06 AM,15.53,121.85,1,2.2,040†km S 50∞ E of Baler (Aurora)
29 June 2020 - 11:50 PM,9.08,126.06,30,2.1,027†km N 63∞ W of Bayabas (Surigao Del Sur)
29 June 2020 - 11:44 PM,13.67,120.54,86,2.1,021†km S 28∞ W of Calatagan (Batangas)
29 June 2020 - 10:57 PM,8.71,126.67,28,1.9,042†km S 76∞ E of Marihatag (Surigao Del Sur)
29 June 2020 - 08:50 PM,7.15,123.7,15,2.4,046†km S 43∞ E of Tabina (Zamboanga Del Sur)
29 June 2020 - 08:49 PM,19.77,121.3,9,2.6,056†km N 18∞ W of Calayan (Cagayan)
29 June 2020 - 08:09 PM,9.46,126.34,16,2,026†km N 39∞ E of Cortes (Surigao Del Sur)
29 June 2020 - 07:43 PM,11.78,125.42,23,1.9,004†km S 82∞ W of San Julian (Eastern Samar)
29 June 2020 - 07:41 PM,17.98,121.37,32,1.3,020†km S 76∞ E of Kabugao (Apayao)
29 June 2020 - 07:38 PM,10.34,126.22,12,2.7,039†km N 25∞ E of Burgos (Surigao Del Norte)
29 June 2020 - 06:30 PM,6.02,126.95,74,2.6,119†km S 54∞ E of Governor Generoso (Davao Oriental)
29 June 2020 - 06:02 PM,6.44,125.09,28,2.4,020†km N 55∞ E of Tupi (South Cotabato)
29 June 2020 - 05:56 PM,7.54,126.52,133,2,006†km S 46∞ W of Baganga (Davao Oriental)
29 June 2020 - 04:50 PM,5.29,126.19,98,2.4,081†km S 79∞ E of Sarangani (Davao Occidental)
29 June 2020 - 04:34 PM,13.55,120.55,116,2.3,023†km N 59∞ W of Abra De Ilog (Occidental Mindoro)
29 June 2020 - 04:19 PM,7.24,123.43,46,2.3,024†km S 05∞ E of Tabina (Zamboanga Del Sur)
29 June 2020 - 04:15 PM,13.5,120.04,14,2.8,034†km S 43∞ W of Looc (Occidental Mindoro)
29 June 2020 - 02:52 PM,9.51,126.5,19,3.3,043†km N 53∞ E of Cortes (Surigao Del Sur)
29 June 2020 - 01:05 PM,15.71,120.07,35,1.6,017†km N 56∞ E of Candelaria (Zambales)
29 June 2020 - 01:03 PM,10.46,123.06,10,2.5,016†km N 75∞ E of La Carlota City (Negros Occidental)
29 June 2020 - 11:52 AM,10.64,125.55,29,2.3,031†km N 05∞ W of Loreto (Dinagat Islands)
29 June 2020 - 10:34 AM,9.01,126.4,18,2.9,013†km N 70∞ E of Bayabas (Surigao Del Sur)
29 June 2020 - 10:20 AM,11.88,125.57,15,3.5,019†km N 41∞ E of San Julian (Eastern Samar)
29 June 2020 - 09:36 AM,10.14,125.8,31,2.1,029†km N 63∞ W of Santa Monica (Sapao) (Surigao Del Norte)
29 June 2020 - 08:13 AM,6.65,126.87,89,2.3,072†km S 31∞ E of Manay (Davao Oriental)
29 June 2020 - 08:11 AM,6.8,124.88,4,2.2,008†km S 42∞ E of Tulunan (Cotabato)
29 June 2020 - 05:13 AM,16.16,122.32,28,2.2,025†km S 59∞ E of Casiguran (Aurora)
29 June 2020 - 04:38 AM,8.89,126.2,31,2,011†km S 74∞ W of Cagwait (Surigao Del Sur)
29 June 2020 - 03:24 AM,13.84,123.4,32,2,008†km N 76∞ E of Tinambac (Camarines Sur)
29 June 2020 - 03:05 AM,10.07,125.88,25,2.6,034†km N 69∞ E of Dinagat (Dinagat Islands)
29 June 2020 - 02:32 AM,7.8,126.19,122,2.4,032†km S 43∞ E of Santa Josefa (Agusan Del Sur)
29 June 2020 - 02:05 AM,13.93,120.5,173,2.7,018†km N 54∞ W of Calatagan (Batangas)
29 June 2020 - 01:53 AM,7.8,127.03,15,3.7,058†km N 65∞ E of Baganga (Davao Oriental)
29 June 2020 - 12:19 AM,7.79,127.23,18,3.8,078†km N 72∞ E of Baganga (Davao Oriental)
28 June 2020 - 11:53 PM,16.04,122.48,21,1.8,047†km S 56∞ E of Casiguran (Aurora)
28 June 2020 - 11:49 PM,15.39,124.42,93,2.6,151†km N 10∞ E of Pandan (Catanduanes)
28 June 2020 - 11:30 PM,17.25,120.76,7,2.2,004†km S 78∞ E of Tubo (Abra)
