Date - Time,Lat,Long,Depth,Mag,Location
31 August 2021 - 11:56 PM,13.7,120.66,88,1.6,015 km S 13° E of Calatagan (Batangas)
31 August 2021 - 11:47 PM,13.72,120.58,98,2.6,014 km S 25° W of Calatagan (Batangas)
31 August 2021 - 11:45 PM,15.79,123.71,5,2.3,167 km N 30° E of Tinaga Island (Vinzons) (Camarines Norte)
31 August 2021 - 11:26 PM,11.42,125.47,26,4.3,022 km S 12° E of City Of Borongan (Eastern Samar)
31 August 2021 - 11:13 PM,12.7,121.58,12,2.3,011 km S 64° E of Bongabong (Oriental Mindoro)
31 August 2021 - 11:05 PM,17.37,119.84,5,2.5,061 km S 71° W of Caoayan (Ilocos Sur)
31 August 2021 - 11:01 PM,5.45,126.53,30,2.9,110 km S 63° E of Jose Abad Santos (Davao Occidental)
31 August 2021 - 10:56 PM,9.6,125.6,10,2.7,007 km S 06° W of Placer (Surigao Del Norte)
31 August 2021 - 10:49 PM,14.13,125.6,32,2.6,136 km N 74° E of Gigmoto (Catanduanes)
31 August 2021 - 10:19 PM,18.05,120.19,25,2,032 km N 85° W of Currimao (Ilocos Norte)
31 August 2021 - 09:43 PM,17.05,121.8,25,2.6,003 km N 77° W of Gamu (Isabela)
31 August 2021 - 09:08 PM,13.75,120.59,98,1.5,011 km S 26° W of Calatagan (Batangas)
31 August 2021 - 08:43 PM,5.47,126.52,15,3.5,108 km S 63° E of Jose Abad Santos (Davao Occidental)
31 August 2021 - 08:20 PM,9.87,126.22,30,2.7,012 km N 36° E of General Luna (Surigao Del Norte)
31 August 2021 - 07:13 PM,14.66,121.33,10,1.6,017 km N 25° E of Baras (Rizal)
31 August 2021 - 07:09 PM,17.75,119.62,17,2.7,081 km N 78° W of Santa Catalina (Ilocos Sur)
31 August 2021 - 05:18 PM,15.16,119.96,33,2.7,010 km S 89° W of Cabangan (Zambales)
31 August 2021 - 04:30 PM,13.3,121.6,7,3.7,025 km N 45° E of Pola (Oriental Mindoro)
31 August 2021 - 03:45 PM,18.76,120.63,1,3.5,027 km N 03° W of Burgos (Ilocos Norte)
31 August 2021 - 01:12 PM,9.74,122.13,19,4.2,040 km N 68° W of Hinoba-an (Negros Occidental)
31 August 2021 - 10:05 AM,13.75,120.64,94,2,009 km S 06° E of Calatagan (Batangas)
31 August 2021 - 09:57 AM,7.45,121.74,122,2.3,040 km N 63° W of Sibuco (Zamboanga Del Norte)
31 August 2021 - 06:40 AM,12.71,120.62,73,2.2,024 km S 65° W of Sablayan (Occidental Mindoro)
31 August 2021 - 06:19 AM,7.11,125.33,11,2.5,028 km N 66° E of City Of Kidapawan (Cotabato)
31 August 2021 - 04:58 AM,9.35,126.22,29,2.4,009 km N 17° E of Cortes (Surigao Del Sur)
31 August 2021 - 04:18 AM,10.55,122.09,24,2.5,007 km S 51° W of San Joaquin (Iloilo)
