Date - Time,Lat,Long,Depth,Mag,Location
31 December 2021 - 10:03 PM,16.88,120.44,88,2.3,003 km S 39Åã E of Bangar (La Union)
31 December 2021 - 10:02 PM,6.19,126.59,73,2.4,077 km S 49Åã E of Governor Generoso (Davao Oriental)
31 December 2021 - 09:58 PM,9.01,126.12,46,3,009 km S 37Åã W of City Of Tandag (Surigao Del Sur)
31 December 2021 - 09:16 PM,8.4,125.73,32,2,008 km S 44Åã W of Talacogon (Agusan Del Sur)
31 December 2021 - 08:49 PM,15.48,118.6,1,2.8,097 km N 68Åã E of Bajo De Masinloc (Masinloc) (Zambales)
31 December 2021 - 08:10 PM,13.78,124.04,11,3,019 km N 88Åã E of Caramoan (Camarines Sur)
31 December 2021 - 05:57 PM,13.91,120.43,11,1.7,023 km N 69Åã W of Calatagan (Batangas)
31 December 2021 - 05:19 PM,18.06,120.81,11,3,009 km S 08Åã W of Carasi (Ilocos Norte)
31 December 2021 - 04:55 PM,8.79,123.41,18,2.2,017 km N 01Åã W of City Of Dapitan (Zamboanga Del Norte)
31 December 2021 - 03:18 PM,13.46,120.14,11,3.3,031 km S 22Åã W of Looc (Occidental Mindoro)
31 December 2021 - 03:09 PM,13.42,120.04,24,3.2,040 km S 34Åã W of Looc (Occidental Mindoro)
31 December 2021 - 02:14 PM,19.45,121.59,46,2.7,024 km N 31Åã E of Calayan (Cagayan)
31 December 2021 - 01:25 PM,9.1,126.01,138,1.8,014 km S 05Åã W of Carmen (Surigao Del Sur)
31 December 2021 - 09:20 AM,13.38,120.07,19,3.3,043 km S 84Åã W of Paluan (Occidental Mindoro)
31 December 2021 - 07:07 AM,10.46,125.33,2,3.1,016 km N 61Åã E of Hinunangan (Southern Leyte)
31 December 2021 - 06:03 AM,17.4,120.12,12,3.3,032 km S 59Åã W of Caoayan (Ilocos Sur)
31 December 2021 - 06:02 AM,19.19,121.74,10,2.2,028 km S 74Åã E of Calayan (Cagayan)
31 December 2021 - 05:03 AM,18.53,120.72,34,2,005 km S 83Åã W of Bangui (Ilocos Norte)
31 December 2021 - 02:12 AM,15.8,119.69,36,1.8,023 km S 84Åã W of Infanta (Pangasinan)
31 December 2021 - 02:10 AM,12.93,120.9,8,2.7,016 km N 52Åã E of Sablayan (Occidental Mindoro)
31 December 2021 - 02:05 AM,18.27,122.07,30,2.1,008 km N 85Åã E of Gonzaga (Cagayan)
30 December 2021 - 11:36 PM,12.93,120.89,6,3.1,015 km N 50Åã E of Sablayan (Occidental Mindoro)
30 December 2021 - 10:16 PM,9.81,126.06,20,2.1,006 km N 05Åã E of Dapa (Surigao Del Norte)
30 December 2021 - 05:58 PM,16.99,120.2,31,2.1,024 km N 53Åã W of Luna (La Union)
30 December 2021 - 04:30 PM,12.95,120.44,22,2.7,039 km N 72Åã W of Sablayan (Occidental Mindoro)
30 December 2021 - 02:55 PM,9.39,125.67,26,2,012 km S 56Åã E of Kitcharao (Agusan Del Norte)
30 December 2021 - 02:19 PM,6.01,126,20,2.6,039 km S 59Åã E of Don Marcelino (Davao Occidental)
30 December 2021 - 01:24 PM,9.6,126.72,23,3,065 km S 71Åã E of General Luna (Surigao Del Norte)
30 December 2021 - 07:21 AM,13.7,120.52,144,2.6,018 km S 40Åã W of Calatagan (Batangas)
30 December 2021 - 04:39 AM,10.45,126.57,11,3.2,073 km N 48Åã E of Burgos (Surigao Del Norte)
30 December 2021 - 03:53 AM,19,121.24,2,2.5,012 km S 15Åã E of Dalupiri Island (Calayan) (Cagayan)
30 December 2021 - 12:02 AM,7.32,127.44,25,2.8,097 km S 89Åã E of Caraga (Davao Oriental)
29 December 2021 - 11:15 PM,7.4,127.35,1,3.2,092 km N 77Åã E of Manay (Davao Oriental)
29 December 2021 - 05:44 PM,7.7,126.08,5,3,004 km N 02Åã W of Compostela (Davao De Oro)
29 December 2021 - 05:38 PM,18.47,121.04,85,4,015 km S 19Åã W of Claveria (Cagayan)
29 December 2021 - 05:11 PM,6.03,126.07,143,2.5,046 km S 66Åã E of Don Marcelino (Davao Occidental)
29 December 2021 - 04:06 PM,5.8,126.32,45,4.1,076 km S 81Åã E of Jose Abad Santos (Davao Occidental)
