Date - Time,Lat,Long,Depth,Mag,Location
28 February 2021 - 11:27 PM,8.9,126.2,45,3.4,012 km S 53° W of Bayabas (Surigao Del Sur)
28 February 2021 - 10:50 PM,6.93,126.66,154,2.8,027 km S 61° E of Tarragona (Davao Oriental)
28 February 2021 - 09:54 PM,8.85,126.2,26,1.9,012 km N 10° W of San Agustin (Surigao Del Sur)
28 February 2021 - 08:17 PM,9,126.42,16,3,016 km N 78° E of Bayabas (Surigao Del Sur)
28 February 2021 - 08:05 PM,6.61,125.1,23,2.6,017 km S 20° W of Magsaysay (Davao Del Sur)
28 February 2021 - 07:17 PM,9.95,126.14,12,3.1,010 km S 40° E of Burgos (Surigao Del Norte)
28 February 2021 - 06:44 PM,17.98,120.75,23,2,010 km N 88° E of Banna (Ilocos Norte)
28 February 2021 - 05:33 PM,8.21,123.12,13,3.4,004 km S 04° E of Siayan (Zamboanga Del Norte)
28 February 2021 - 05:22 PM,15.31,121.35,17,1.9,010 km S 27° W of Dingalan (Aurora)
28 February 2021 - 04:48 PM,15.84,122.6,9,3,070 km S 47° E of Casiguran (Aurora)
28 February 2021 - 03:32 PM,13.53,120.32,2,2.5,020 km N 52° W of Paluan (Occidental Mindoro)
28 February 2021 - 03:05 PM,8.58,125.53,20,2.8,028 km S 58° W of City Of Bayugan (Agusan Del Sur)
28 February 2021 - 07:22 AM,9,126.45,32,2,019 km N 78° E of Bayabas (Surigao Del Sur)
28 February 2021 - 06:33 AM,18.42,120.87,6,1.8,006 km S 39° W of Adams (Ilocos Norte)
28 February 2021 - 05:34 AM,6.3,126.41,49,3.1,054 km S 43° E of Governor Generoso (Davao Oriental)
28 February 2021 - 05:07 AM,10.33,126.09,6,3,034 km N 03° E of Burgos (Surigao Del Norte)
28 February 2021 - 03:46 AM,19.82,121.74,17,2.3,059 km S 14° W of Sabtang (Batanes)
28 February 2021 - 03:24 AM,18.46,120.67,33,1.8,007 km S 28° E of Burgos (Ilocos Norte)
28 February 2021 - 03:16 AM,8.57,126.45,32,1.9,026 km N 30° E of Hinatuan (Surigao Del Sur)
28 February 2021 - 02:39 AM,17.72,121.15,18,3.1,021 km S 65° W of Conner (Apayao)
28 February 2021 - 02:37 AM,9.49,122.91,9,2.5,027 km S 03° W of Mabinay (Negros Oriental)
28 February 2021 - 12:33 AM,8.26,125.39,4,2.7,033 km N 64° E of City Of Malaybalay (Bukidnon)
27 February 2021 - 11:50 PM,9.76,126.03,33,1.8,003 km N 77° W of Dapa (Surigao Del Norte)
27 February 2021 - 11:37 PM,17.42,120.5,33,1.9,010 km N 87° W of Pilar (Abra)
27 February 2021 - 11:35 PM,9.99,126.13,12,2.5,007 km S 63° E of Burgos (Surigao Del Norte)
27 February 2021 - 11:12 PM,5.87,125.29,18,1.8,011 km N 60° E of Glan (Sarangani)
27 February 2021 - 10:53 PM,7,125.08,34,1.9,005 km N 13° W of Makilala (Cotabato)
27 February 2021 - 10:04 PM,5.88,126,129,2.4,040 km S 85° E of Jose Abad Santos (Davao Occidental)
27 February 2021 - 09:31 PM,18.66,121.79,144,3.3,028 km S 16° W of Camiguin Island (Calayan) (Cagayan)
27 February 2021 - 09:12 PM,8.42,126.58,32,2.1,028 km N 77° E of Hinatuan (Surigao Del Sur)
27 February 2021 - 08:56 PM,9.75,126.19,32,2,005 km S 42° E of General Luna (Surigao Del Norte)
27 February 2021 - 08:27 PM,8.25,126.51,27,2,026 km N 24° E of Lingig (Surigao Del Sur)
27 February 2021 - 06:58 PM,9.4,126.31,19,2.5,018 km N 42° E of Cortes (Surigao Del Sur)
27 February 2021 - 02:52 PM,6.6,125.18,17,3.1,009 km S 74° W of Kiblawan (Davao Del Sur)
27 February 2021 - 10:32 AM,4.63,126.44,63,3.7,142 km S 53° E of Sarangani (Davao Occidental)
27 February 2021 - 10:23 AM,10.17,123.18,12,2.2,012 km N 60° W of City Of Guihulngan (Negros Oriental)
27 February 2021 - 09:38 AM,13.73,120.52,102,2.4,016 km S 45° W of Calatagan (Batangas)
27 February 2021 - 08:24 AM,13.43,120.6,1,3.2,014 km S 85° W of Abra De Ilog (Occidental Mindoro)
27 February 2021 - 07:08 AM,16.82,121.49,24,2.6,013 km S 55° W of San Mateo (Isabela)
27 February 2021 - 07:07 AM,6.97,125.13,30,2.2,025 km N 05° W of Magsaysay (Davao Del Sur)
27 February 2021 - 06:41 AM,6.46,124.53,19,2.4,010 km S 26° W of Bagumbayan (Sultan Kudarat)
27 February 2021 - 06:22 AM,11.38,124.54,12,2.6,006 km N 85° E of Leyte (Leyte)
27 February 2021 - 05:59 AM,7.93,126.08,6,2.3,012 km N 14° E of Monkayo (Davao De Oro)
27 February 2021 - 05:40 AM,13.73,122.62,33,2.1,021 km S 60° W of Ragay (Camarines Sur)
27 February 2021 - 05:10 AM,11.98,120.74,14,2.7,055 km S 41° W of San Jose (Occidental Mindoro)
27 February 2021 - 05:09 AM,10.04,125.27,35,2,012 km N 36° E of Pintuyan (Southern Leyte)
27 February 2021 - 04:55 AM,10.18,126.51,2,2.2,050 km N 70° E of Burgos (Surigao Del Norte)
27 February 2021 - 04:11 AM,9.87,122.35,15,2,015 km N 44° W of City Of Sipalay (Negros Occidental)
27 February 2021 - 02:22 AM,15.07,119.77,24,1.9,032 km N 89° W of San Felipe (Zambales)
27 February 2021 - 02:14 AM,9.83,125.34,32,1.9,011 km N 57° W of San Francisco (Surigao Del Norte)
27 February 2021 - 01:41 AM,6.89,126.78,29,2.3,041 km S 64° E of Tarragona (Davao Oriental)
