Date - Time,Lat,Long,Depth,Mag,Location
30 September 2021 - 11:40 PM,13.55,120.65,93,3.1,014 km N 35° W of Abra De Ilog (Occidental Mindoro)
30 September 2021 - 11:24 PM,5.39,126.85,7,2.7,146 km S 66° E of Jose Abad Santos (Davao Occidental)
30 September 2021 - 11:13 PM,15.56,119.9,30,2.7,008 km S 28° W of Candelaria (Zambales)
30 September 2021 - 11:12 PM,5.38,126.92,12,3.4,148 km S 73° E of Jose Abad Santos (Davao Occidental)
30 September 2021 - 10:45 PM,15.58,119.78,28,2.4,017 km S 73° W of Candelaria (Zambales)
30 September 2021 - 10:50 PM,11.54,124.33,6,3,008 km S 71° W of Naval (Biliran)
30 September 2021 - 10:28 PM,13.25,122.22,9,2.9,016 km S 62° E of Torrijos (Marinduque)
30 September 2021 - 10:26 PM,13.27,122.2,4,3,014 km S 66° E of Torrijos (Marinduque)
30 September 2021 - 10:24 PM,4.8,125.84,55,3.4,082 km S 34° E of Sarangani (Davao Occidental)
30 September 2021 - 09:50 PM,17.3,121.49,35,2.2,012 km S 86° W of Quezon (Isabela)
30 September 2021 - 08:50 PM,13.79,120.52,76,2,013 km S 69° W of Calatagan (Batangas)
30 September 2021 - 08:33 PM,12.96,124.66,20,3.4,051 km N 03° E of Catarman (Northern Samar)
30 September 2021 - 06:36 AM,15.14,120.4,12,3.1,017 km N 64° W of Porac (Pampanga)
30 September 2021 - 05:38 PM,13.71,120.57,107,2.1,015 km S 26° W of Calatagan (Batangas)
30 September 2021 - 04:47 PM,19.44,122.15,16,4,026 km S 71° E of Babuyan Island (Calayan) (Cagayan)
30 September 2021 - 04:36 PM,9.93,126.1,18,3.2,010 km S 16° E of Burgos (Surigao Del Norte)
30 September 2021 - 03:13 PM,18.58,120.94,15,2.7,015 km S 79° W of Claveria (Cagayan)
30 September 2021 - 01:17 PM,13.89,120.52,69,2,014 km N 61° W of Calatagan (Batangas)
30 September 2021 - 12:55 PM,8.61,125.65,71,2.9,016 km N 40° W of San Luis (Agusan Del Sur)
30 September 2021 - 12:54 PM,12.73,124.79,20,3.4,024 km N 39° W of Pambujan (Northern Samar)
30 September 2021 - 12:54 PM,13.93,120.48,76,1.9,020 km N 57° W of Calatagan (Batangas)
30 September 2021 - 09:16 AM,12.85,124.83,13,2.5,033 km N 19° W of Pambujan (Northern Samar)
30 September 2021 - 06:55 AM,7.22,126.57,16,3.3,004 km N 73° E of Manay (Davao Oriental)
30 September 2021 - 06:55 AM,16.94,119.75,33,2.4,063 km N 14° W of Bolinao (Pangasinan)
30 September 2021 - 06:32 AM,2.38,128.2,214,4.3,456 km S 43° E of Sarangani (Davao Occidental)
30 September 2021 - 04:55 AM,15.47,119.87,45,2.1,006 km N 51° W of Palauig (Zambales)
30 September 2021 - 04:39 AM,7.44,126.86,20,2.3,035 km N 69° E of Caraga (Davao Oriental)
30 September 2021 - 04:18 AM,13.64,120.61,84,2,022 km S 07° W of Calatagan (Batangas)
30 September 2021 - 02:23 AM,13.83,120.46,74,2.3,019 km 00 °est of Calatagan (Batangas)
30 September 2021 - 02:08 AM,17.45,120.28,16,2.1,016 km S 47° W of Caoayan (Ilocos Sur)
30 September 2021 - 01:36 AM,6.79,126.52,26,2.9,038 km S 61° E of City Of Mati (Davao Oriental)
30 September 2021 - 01:19 AM,16.1,120.23,1,3,013 km N 62° W of City Of Dagupan (Pangasinan)
30 September 2021 - 01:09 AM,5.9,124.56,21,3,012 km S 35° W of Kiamba (Sarangani)
30 September 2021 - 12:37 AM,5.81,125.03,59,2.8,007 km S 38° E of Maasim (Sarangani)
29 September 2021 - 11:48 PM,5.32,124.93,21,4.2,056 km S 79° W of Sarangani (Davao Occidental)
29 September 2021 - 11:36 PM,9.91,121.7,23,2.3,063 km S 23° W of Anini-y (Antique)
29 September 2021 - 11:26 PM,16.46,120.02,38,2,016 km N 59° E of Bolinao (Pangasinan)
29 September 2021 - 11:14 PM,5.49,126.8,15,3.2,136 km S 70° E of Jose Abad Santos (Davao Occidental)
29 September 2021 - 10:39 PM,16.14,119.88,32,2.4,009 km N 71° E of Agno (Pangasinan)
29 September 2021 - 10:32 PM,14.23,120.36,110,2.3,026 km S 32° W of Mariveles (Bataan)
29 September 2021 - 10:18 PM,6.49,126.15,25,2.2,020 km S 24° E of Governor Generoso (Davao Oriental)
29 September 2021 - 09:17 PM,9.38,126.35,17,2.3,021 km N 56° E of Cortes (Surigao Del Sur)
29 September 2021 - 09:10 PM,11.99,120.68,15,2.9,058 km S 47° W of San Jose (Occidental Mindoro)
29 September 2021 - 08:18 PM,5.27,127.3,133,3.5,197 km S 69° E of Jose Abad Santos (Davao Occidental)
29 September 2021 - 08:07 PM,6.07,126.14,157,2.4,051 km S 74° E of Don Marcelino (Davao Occidental)
29 September 2021 - 06:56 PM,5.58,127.01,4,3.4,152 km S 76° E of Jose Abad Santos (Davao Occidental)
29 September 2021 - 06:55 PM,6.01,127.11,15,3,135 km S 58° E of Governor Generoso (Davao Oriental)
29 September 2021 - 05:27 PM,6.22,124.83,4,4,001 km N 18° E of T'boli (South Cotabato)
29 September 2021 - 02:37 PM,12.88,124.92,8,3.3,035 km N 01° W of Pambujan (Northern Samar)
29 September 2021 - 09:42 AM,16.09,121.65,24,1.9,016 km S 17° E of Nagtipunan (Quirino)
29 September 2021 - 06:50 AM,11,124.58,10,2,016 km N 56° W of Albuera (Leyte)
29 September 2021 - 06:13 AM,10.48,123.64,11,2.1,011 km N 11° W of City Of Toledo (Cebu)
29 September 2021 - 05:05 AM,11.02,122.32,3,2.5,021 km N 85° E of Valderrama (Antique)
29 September 2021 - 04:47 AM,9.98,126.1,27,1.9,005 km S 37° E of Burgos (Surigao Del Norte)
29 September 2021 - 04:27 AM,13.38,121,1,2.4,007 km S 20° W of San Teodoro (Oriental Mindoro)
29 September 2021 - 04:18 AM,6.5,126.53,19,2.3,054 km S 71° E of Governor Generoso (Davao Oriental)
29 September 2021 - 03:52 AM,19.42,121.01,1,3.6,052 km N 70° W of Calayan (Cagayan)
29 September 2021 - 03:34 AM,5.87,124.55,15,3.5,016 km S 32° W of Kiamba (Sarangani)
29 September 2021 - 03:05 AM,13.71,120.6,120,1.9,015 km S 15° W of Calatagan (Batangas)
29 September 2021 - 02:44 AM,13.86,120.52,73,2,013 km N 74° W of Calatagan (Batangas)
29 September 2021 - 02:19 AM,13.79,120.49,97,2.1,017 km S 72° W of Calatagan (Batangas)
29 September 2021 - 12:53 AM,5.93,124.64,19,3,006 km S 17° E of Kiamba (Sarangani)
29 September 2021 - 12:22 AM,6.18,124.81,4,3,004 km S 18° W of T'boli (South Cotabato)
29 September 2021 - 12:05 AM,6.01,124.69,33,2.2,007 km N 73° E of Kiamba (Sarangani)
28 September 2021 - 11:58 PM,16.71,120.89,37,2,011 km N 30° E of Kabayan (Benguet)
28 September 2021 - 11:23 PM,6.2,124.84,6,3.3,002 km S 49° E of T'boli (South Cotabato)
28 September 2021 - 11:08 PM,6.1,124.8,2,4.2,012 km S 10° W of T'boli (South Cotabato)
28 September 2021 - 10:37 PM,10.01,126.06,9,2.5,002 km S 66° W of Burgos (Surigao Del Norte)
28 September 2021 - 10:36 PM,9.44,126.01,8,2,010 km N 41° E of Carrascal (Surigao Del Sur)
28 September 2021 - 10:30 PM,13.74,120.61,115,2.1,011 km S 11° W of Calatagan (Batangas)
28 September 2021 - 10:15 PM,15.15,120.21,66,2.4,016 km S 88° E of Cabangan (Zambales)
28 September 2021 - 10:15 PM,8.93,122.92,1,2.1,019 km S 41° W of Siaton (Negros Oriental)
28 September 2021 - 08:42 PM,14.07,120.56,124,2,008 km S 88° W of Nasugbu (Batangas)
28 September 2021 - 08:39 PM,18.15,121.7,37,1.8,011 km N 28° E of Gattaran (Cagayan)
28 September 2021 - 08:39 PM,13.1,121.38,37,2,008 km S 58° W of Pola (Oriental Mindoro)
28 September 2021 - 08:38 PM,13.16,121.23,12,2,006 km S 71° W of Victoria (Oriental Mindoro)
28 September 2021 - 07:53 PM,5.82,125.29,18,2,010 km N 89° E of Glan (Sarangani)
28 September 2021 - 07:38 PM,11.77,125.29,56,2.5,024 km N 64° E of Hernani (Eastern Samar)
28 September 2021 - 07:29 PM,14.18,123.47,1,2.5,041 km N 39° W of Garchitorena (Camarines Sur)
28 September 2021 - 07:10 PM,3.08,126.2,68,4.3,259 km S 17° E of Sarangani (Davao Occidental)
28 September 2021 - 06:23 PM,13.81,120.5,75,2.1,014 km S 82° W of Calatagan (Batangas)
28 September 2021 - 05:55 PM,8.4,126.89,31,2.3,061 km N 87° E of Hinatuan (Surigao Del Sur)
28 September 2021 - 05:36 PM,13.86,120.54,65,2,011 km N 71° W of Calatagan (Batangas)
28 September 2021 - 02:01 PM,13.24,120.31,28,2,031 km N 88° W of Mamburao (Occidental Mindoro)
28 September 2021 - 01:08 PM,13.83,120.52,68,2.1,012 km 00 °est of Calatagan (Batangas)
28 September 2021 - 01:02 PM,16.19,120.13,22,2.9,016 km N 76° E of City Of Alaminos (Pangasinan)
28 September 2021 - 01:01 PM,13.82,120.49,75,2.3,015 km S 83° W of Calatagan (Batangas)
28 September 2021 - 12:31 PM,8.11,125.93,30,2.4,011 km S 44° E of Loreto (Agusan Del Sur)
28 September 2021 - 12:17 PM,16.16,119.84,32,1.8,007 km N 46° E of Agno (Pangasinan)
28 September 2021 - 10:54 AM,6.3,126.64,19,2.8,074 km S 58° E of Governor Generoso (Davao Oriental)
28 September 2021 - 10:14 AM,20.78,122.1,133,3.4,027 km S 89° E of Itbayat (Batanes)
28 September 2021 - 06:21 AM,6.6,124.1,1,2.6,007 km N 45° E of Kalamansig (Sultan Kudarat)
28 September 2021 - 05:53 AM,12.03,120.72,6,2.4,052 km S 47° W of San Jose (Occidental Mindoro)
28 September 2021 - 05:27 AM,13.8,120.46,71,3.2,019 km S 78° W of Calatagan (Batangas)
28 September 2021 - 03:59 AM,12.07,123.98,9,2.7,011 km S 35° E of Palanas (Masbate)
28 September 2021 - 02:39 AM,13.29,119.9,29,3.1,068 km S 21° W of Lubang (Occidental Mindoro)
28 September 2021 - 02:33 AM,13.85,120.49,76,2,016 km N 82° W of Calatagan (Batangas)
28 September 2021 - 01:56 AM,13.82,120.49,76,2.9,015 km S 86° W of Calatagan (Batangas)
28 September 2021 - 01:32 AM,18.65,120.23,14,3,046 km N 70° W of Burgos (Ilocos Norte)
28 September 2021 - 01:08 AM,6.18,126.96,33,2.7,111 km S 62° E of Governor Generoso (Davao Oriental)
28 September 2021 - 12:57 AM,13.8,120.48,76,2,017 km S 80° W of Calatagan (Batangas)
27 September 2021 - 11:57 PM,6.59,125.19,24,2,008 km S 65° W of Kiblawan (Davao Del Sur)
27 September 2021 - 11:40 PM,13.88,120.4,77,2.1,024 km N 41° E of Looc (Occidental Mindoro)
27 September 2021 - 11:02 PM,13.84,120.51,67,1.7,013 km N 89° W of Calatagan (Batangas)
27 September 2021 - 10:53 PM,8.15,126.34,68,2.2,007 km S 16° E of City Of Bislig (Surigao Del Sur)
27 September 2021 - 09:09 PM,17.63,120.68,31,2,008 km N 60° E of Bangued (Abra)
27 September 2021 - 08:33 PM,11.77,125.64,34,2,020 km N 84° E of San Julian (Eastern Samar)
27 September 2021 - 08:30 PM,13.84,120.5,66,2,014 km N 88° W of Calatagan (Batangas)
27 September 2021 - 08:28 PM,4.46,126.12,145,3,131 km S 36° E of Sarangani (Davao Occidental)
27 September 2021 - 08:25 PM,13.67,120.6,105,2.1,018 km S 11° W of Calatagan (Batangas)
27 September 2021 - 08:15 PM,13.8,120.5,73,2.1,015 km S 78° W of Calatagan (Batangas)
27 September 2021 - 07:13 PM,16.83,121.5,29,2,011 km S 57° W of San Mateo (Isabela)
27 September 2021 - 07:10 PM,13.83,120.51,73,2,013 km S 87° W of Calatagan (Batangas)
27 September 2021 - 06:48 PM,6.81,126.32,19,2.6,020 km S 37° E of City Of Mati (Davao Oriental)
27 September 2021 - 06:16 PM,9.38,125.91,1,1.8,004 km N 67° W of Carrascal (Surigao Del Sur)
27 September 2021 - 06:12 PM,14.53,119.76,28,1.7,057 km S 73° W of Morong (Bataan)
27 September 2021 - 01:07 PM,13.84,120.48,70,1.8,016 km N 88° W of Calatagan (Batangas)
27 September 2021 - 12:39 PM,9.46,126.31,22,2.2,024 km N 32° E of Cortes (Surigao Del Sur)
27 September 2021 - 10:27 AM,2.59,126.45,49,4.1,333 km S 20° E of Sarangani (Davao Occidental)
27 September 2021 - 10:19 AM,13.8,120.49,72,2,015 km S 78° W of Calatagan (Batangas)
27 September 2021 - 09:52 AM,13.84,120.5,71,2.4,014 km N 87° W of Calatagan (Batangas)
27 September 2021 - 08:08 AM,13.84,120.54,64,2.4,010 km N 87° W of Calatagan (Batangas)
27 September 2021 - 07:33 AM,13.84,120.49,69,2.4,015 km N 86° W of Calatagan (Batangas)
27 September 2021 - 07:27 AM,18.11,120.57,12,2.3,006 km N 04° E of City Of Batac (Ilocos Norte)
27 September 2021 - 06:57 AM,13.81,120.45,72,3.8,020 km S 84° W of Calatagan (Batangas)
27 September 2021 - 06:21 AM,13.81,120.5,78,2,014 km S 82° W of Calatagan (Batangas)
27 September 2021 - 05:58 AM,13.85,120.48,73,2,017 km N 82° W of Calatagan (Batangas)
27 September 2021 - 05:04 AM,13.81,120.46,76,3.4,019 km S 81° W of Calatagan (Batangas)
27 September 2021 - 04:35 AM,13.83,120.51,71,1.9,013 km 00 °est of Calatagan (Batangas)
27 September 2021 - 04:34 AM,13.8,120.5,73,2,015 km S 78° W of Calatagan (Batangas)
27 September 2021 - 04:28 AM,13.81,120.5,71,2.2,015 km S 79° W of Calatagan (Batangas)
27 September 2021 - 04:23 AM,6.88,126.65,89,3.2,029 km S 49° E of Tarragona (Davao Oriental)
27 September 2021 - 04:22 AM,10.36,126.7,23,2.4,079 km N 61° E of Burgos (Surigao Del Norte)
27 September 2021 - 04:16 AM,11.55,124.41,16,2.8,002 km S 35° E of Naval (Biliran)
27 September 2021 - 04:15 AM,10.44,122.5,21,2.1,010 km S 26° W of Nueva Valencia (Guimaras)
27 September 2021 - 04:10 AM,13.83,120.5,75,1.8,014 km N 90° W of Calatagan (Batangas)
27 September 2021 - 04:00 AM,13.85,120.52,70,2.3,012 km N 79° W of Calatagan (Batangas)
27 September 2021 - 03:49 AM,13.84,120.53,71,1.6,011 km N 84° W of Calatagan (Batangas)
27 September 2021 - 03:31 AM,5.84,126.57,59,2.8,103 km S 85° E of Jose Abad Santos (Davao Occidental)
27 September 2021 - 03:19 AM,13.8,120.5,77,2.2,015 km S 77° W of Calatagan (Batangas)
27 September 2021 - 03:18 AM,13.85,120.49,74,1.5,015 km N 85° W of Calatagan (Batangas)
27 September 2021 - 03:17 AM,5.98,126.06,116,2.5,048 km S 59° E of Don Marcelino (Davao Occidental)
27 September 2021 - 03:13 AM,13.81,120.5,72,2,015 km S 82° W of Calatagan (Batangas)
27 September 2021 - 03:03 AM,13.82,120.5,73,1.9,014 km S 85° W of Calatagan (Batangas)
27 September 2021 - 02:55 AM,13.85,120.51,70,2.1,014 km N 83° W of Calatagan (Batangas)
27 September 2021 - 02:49 AM,13.86,120.51,64,2,014 km N 78° W of Calatagan (Batangas)
27 September 2021 - 02:47 AM,8.84,126.43,31,2,015 km N 72° E of Marihatag (Surigao Del Sur)
27 September 2021 - 02:30 AM,13.81,120.5,70,1.9,014 km S 79° W of Calatagan (Batangas)
27 September 2021 - 02:30 AM,11.47,124.52,22,2.3,005 km N 79° E of Biliran (Biliran)
27 September 2021 - 02:25 AM,13.81,120.45,69,2.9,020 km S 82° W of Calatagan (Batangas)
27 September 2021 - 02:23 AM,13.81,120.46,78,2.6,018 km S 84° W of Calatagan (Batangas)
27 September 2021 - 02:22 AM,13.82,120.49,72,1.5,016 km S 85° W of Calatagan (Batangas)
27 September 2021 - 01:50 AM,13.81,120.46,74,2.5,019 km S 83° W of Calatagan (Batangas)
27 September 2021 - 01:47 AM,13.84,120.42,76,2.7,023 km N 55° E of Looc (Occidental Mindoro)
27 September 2021 - 01:46 AM,13.85,120.46,80,2.1,019 km N 84° W of Calatagan (Batangas)
27 September 2021 - 01:40 AM,13.83,120.41,79,4.5,021 km N 54° E of Looc (Occidental Mindoro)
27 September 2021 - 01:35 AM,7.12,126.84,15,2.9,035 km S 73° E of Manay (Davao Oriental)
27 September 2021 - 01:26 AM,13.82,120.42,79,3.4,022 km N 58° E of Looc (Occidental Mindoro)
27 September 2021 - 01:12 AM,13.82,120.35,66,5.7,016 km N 44° E of Looc (Occidental Mindoro)
27 September 2021 - 12:39 AM,13.85,120.5,99,2.6,014 km N 84° W of Calatagan (Batangas)
26 September 2021 - 10:21 PM,9.71,122.97,7,2.9,006 km S 60° E of Mabinay (Negros Oriental)
26 September 2021 - 09:31 PM,13.57,121.09,1,2.4,005 km N 31° E of Verde Island (Batangas City) (Batangas)
26 September 2021 - 09:04 PM,13.53,121.06,11,3.1,001 km S 65° W of Verde Island (Batangas City) (Batangas)
26 September 2021 - 08:50 PM,16.5,121.28,31,1.8,002 km N 58° E of Quezon (Nueva Vizcaya)
26 September 2021 - 08:36 PM,7.13,126.96,19,2.9,047 km S 79° E of Manay (Davao Oriental)
26 September 2021 - 06:44 PM,10.44,126.61,6,3.5,074 km N 52° E of Burgos (Surigao Del Norte)
26 September 2021 - 05:51 PM,9.45,125.91,117,2.6,010 km N 28° W of Carrascal (Surigao Del Sur)
26 September 2021 - 05:16 PM,19.19,120.98,5,2.8,025 km N 69° W of Dalupiri Island (Calayan) (Cagayan)
26 September 2021 - 01:30 PM,9.84,123.98,10,4.2,003 km S 59° W of Catigbian (Bohol)
26 September 2021 - 10:48 AM,8.74,125.96,7,3.1,016 km N 18° E of Prosperidad (Agusan Del Sur)
26 September 2021 - 07:10 AM,10.27,125.79,52,2.2,025 km S 67° E of Loreto (Dinagat Islands)
26 September 2021 - 04:30 AM,13.87,120.82,20,1.9,007 km S 07° E of Calaca (Batangas)
26 September 2021 - 03:56 AM,14.02,121.01,1,2.9,008 km S 11° W of Talisay (Batangas)
26 September 2021 - 02:22 AM,9.95,122.53,24,2.1,011 km S 77° W of Cauayan (Negros Occidental)
26 September 2021 - 01:21 AM,8.75,126.74,33,2.2,057 km N 90° E of San Agustin (Surigao Del Sur)
26 September 2021 - 12:39 AM,8.72,126.72,27,2,047 km S 79° E of Marihatag (Surigao Del Sur)
26 September 2021 - 12:31 AM,13.56,120.71,4,2.7,013 km N 08° W of Abra De Ilog (Occidental Mindoro)
26 September 2021 - 12:28 AM,4.62,126.75,106,3.6,171 km S 59° E of Sarangani (Davao Occidental)
26 September 2021 - 12:02 AM,13.78,120.61,99,2.1,006 km S 25° W of Calatagan (Batangas)
25 September 2021 - 11:43 PM,9.42,126.4,16,2.3,028 km N 54° E of Cortes (Surigao Del Sur)
25 September 2021 - 11:43 PM,5.47,125.64,153,3,025 km N 76° E of Sarangani (Davao Occidental)
25 September 2021 - 11:28 PM,15.87,119.97,37,1.6,014 km N 27° E of Santa Cruz (Zambales)
25 September 2021 - 10:23 PM,5.9,126.9,33,2.6,123 km S 48° E of Governor Generoso (Davao Oriental)
25 September 2021 - 09:30 PM,7.86,126.52,27,2.3,011 km N 46° E of Cateel (Davao Oriental)
25 September 2021 - 09:29 PM,13.78,120.56,102,2,010 km S 50° W of Calatagan (Batangas)
25 September 2021 - 09:10 PM,16.86,121.52,13,3.1,007 km S 71° W of San Mateo (Isabela)
25 September 2021 - 08:02 PM,17.79,120.58,1,2.4,014 km N 38° W of Danglas (Abra)
25 September 2021 - 07:25 PM,8.82,125.55,27,2,010 km N 31° W of Las Nieves (Agusan Del Norte)
25 September 2021 - 06:55 PM,15.88,121.91,9,2,030 km S 10° W of Dinalungan (Aurora)
25 September 2021 - 06:30 PM,12.43,123.44,23,2,019 km S 25° W of Aroroy (Masbate)
25 September 2021 - 05:48 PM,14.51,119.81,5,2.7,057 km S 32° W of San Antonio (Zambales)
25 September 2021 - 05:12 PM,6.64,123.52,21,2.8,059 km N 81° W of Kalamansig (Sultan Kudarat)
25 September 2021 - 04:11 PM,14.59,119.78,2,2.9,052 km S 40° W of San Antonio (Zambales)
25 September 2021 - 03:27 PM,7.41,126.62,17,2.8,011 km N 36° E of Caraga (Davao Oriental)
25 September 2021 - 03:09 PM,16.48,120.31,27,2,015 km S 02° W of City Of San Fernando (La Union)
25 September 2021 - 12:25 PM,13.74,120.54,97,2.4,014 km S 42° W of Calatagan (Batangas)
25 September 2021 - 12:18 PM,9.45,126.15,29,2.3,020 km N 15° W of Cortes (Surigao Del Sur)
25 September 2021 - 11:12 AM,15.69,119.25,10,3.4,071 km S 83° W of Santa Cruz (Zambales)
25 September 2021 - 10:42 AM,9.7,122.99,33,1.9,006 km S 45° E of Mabinay (Negros Oriental)
25 September 2021 - 08:50 AM,9.62,122.98,21,2.2,014 km S 24° E of Mabinay (Negros Oriental)
25 September 2021 - 08:44 AM,7.79,126.59,29,2.4,015 km N 90° E of Cateel (Davao Oriental)
25 September 2021 - 07:05 AM,5.66,125.24,15,2.7,018 km S 12° E of Glan (Sarangani)
25 September 2021 - 06:38 AM,9.65,123.01,26,2.4,013 km S 46° E of Mabinay (Negros Oriental)
25 September 2021 - 06:30 AM,9.69,123.05,3,3.3,016 km S 74° E of Mabinay (Negros Oriental)
25 September 2021 - 06:09 AM,17.51,120.16,23,2.7,024 km S 69° W of Santa Catalina (Ilocos Sur)
25 September 2021 - 06:08 AM,17.51,120.14,25,4,026 km S 80° W of Caoayan (Ilocos Sur)
25 September 2021 - 05:46 AM,13.24,122.31,8,3,026 km S 63° W of San Francisco (Quezon)
25 September 2021 - 04:43 AM,18.31,120.9,33,2.5,016 km N 69° W of Calanasan (Apayao)
25 September 2021 - 04:01 AM,17.19,119.88,1,2.7,060 km N 88° W of City Of Candon (Ilocos Sur)
25 September 2021 - 03:40 AM,6.8,124.92,14,2.7,006 km S 52° E of Tulunan (Cotabato)
25 September 2021 - 02:28 AM,7.74,125.41,2,3,021 km S 25° E of San Fernando (Bukidnon)
25 September 2021 - 01:31 AM,6.52,126.4,8,2.5,039 km S 68° E of Governor Generoso (Davao Oriental)
25 September 2021 - 12:32 AM,6.92,125.1,11,2.8,016 km S 22° W of City Of Kidapawan (Cotabato)
24 September 2021 - 10:28 PM,5.19,126.67,3,3.6,139 km S 55° E of Jose Abad Santos (Davao Occidental)
24 September 2021 - 09:54 PM,9.35,122.38,28,2.4,029 km S 77° W of Basay (Negros Oriental)
24 September 2021 - 09:43 PM,13.59,121.49,9,3.5,028 km S 21° E of San Juan (Batangas)
24 September 2021 - 09:29 PM,5.72,125.15,4,3,013 km S 29° W of Glan (Sarangani)
24 September 2021 - 08:45 PM,9.55,125.9,32,2,018 km S 83° E of Claver (Surigao Del Norte)
24 September 2021 - 07:53 PM,5.77,126.21,50,3.2,065 km S 76° E of Jose Abad Santos (Davao Occidental)
24 September 2021 - 07:35 PM,2.99,126.99,90,4.6,320 km S 33° E of Sarangani (Davao Occidental)
24 September 2021 - 07:07 PM,16.03,120.4,91,2.5,007 km S 82° E of City Of Dagupan (Pangasinan)
24 September 2021 - 06:54 PM,13.57,121.48,11,4,030 km S 17° E of San Juan (Batangas)
24 September 2021 - 04:08 PM,9.98,123.07,30,2.2,013 km N 61° W of Tayasan (Negros Oriental)
