Date - Time,Lat,Long,Depth,Mag,Location
30 April 2022 - 11:56 PM,14.2,119.19,40,2.6,108 km N 69Åã W of Lubang (Occidental Mindoro)
30 April 2022 - 11:53 PM,14.13,119.34,15,3.3,090 km N 70Åã W of Lubang (Occidental Mindoro)
30 April 2022 - 11:43 PM,9.2,125.62,6,2.8,010 km N 71Åã E of Tubay (Agusan Del Norte)
30 April 2022 - 10:57 PM,18.59,120.87,28,2.5,010 km N 71Åã E of Pagudpud (Ilocos Norte)
30 April 2022 - 10:18 PM,14.5,121.38,17,1.8,008 km N 71Åã E of Pililla (Rizal)
30 April 2022 - 05:02 PM,9.94,125.89,13,2.4,019 km S 61Åã W of Santa Monica (Surigao Del Norte)
30 April 2022 - 04:56 PM,11.26,125.99,3,2.4,035 km N 59Åã E of Mercedes (Eastern Samar)
30 April 2022 - 04:21 PM,11.19,126.15,1,3.1,049 km N 78Åã E of Mercedes (Eastern Samar)
30 April 2022 - 03:37 PM,9.68,125.95,24,2.6,025 km S 62Åã W of General Luna (Surigao Del Norte)
30 April 2022 - 03:18 PM,13.94,120.36,70,1.6,027 km N 26Åã E of Looc (Occidental Mindoro)
30 April 2022 - 01:20 PM,18.43,121.34,13,2,004 km S 07Åã W of Pamplona (Cagayan)
30 April 2022 - 01:20 PM,7.18,127.05,23,2,056 km S 72Åã E of Caraga (Davao Oriental)
30 April 2022 - 01:17 PM,15.43,119.99,15,1.9,008 km East of Palauig (Zambales)
30 April 2022 - 01:00 PM,19.76,122.08,12,3.2,033 km N 32Åã E of Babuyan Island (Calayan) (Cagayan)
30 April 2022 - 12:57 PM,13.87,120.5,65,1.7,015 km N 74Åã W of Calatagan (Batangas)
30 April 2022 - 11:24 AM,2.92,126.29,118,4.3,292 km S 19Åã E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
30 April 2022 - 10:45 AM,14.98,122.64,4,2.4,046 km N 47Åã E of Jomalig (Quezon)
30 April 2022 - 10:19 AM,6.79,127.22,34,3.1,088 km S 58Åã E of Manay (Davao Oriental)
30 April 2022 - 10:19 AM,6.99,127.31,35,2.5,089 km S 74Åã E of Manay (Davao Oriental)
30 April 2022 - 09:34 AM,7.09,125.52,24,2.1,022 km N 86Åã W of Island Garden City Of Samal (Davao Del Norte)
30 April 2022 - 08:52 AM,15.01,122.56,1,3.1,042 km N 36Åã E of Jomalig (Quezon)
30 April 2022 - 07:31 AM,8.99,126.21,48,3.3,010 km S 26Åã E of City Of Tandag (Surigao Del Sur)
30 April 2022 - 07:27 AM,14.17,119.46,1,2.3,080 km N 64Åã W of Lubang (Occidental Mindoro)
30 April 2022 - 06:10 AM,16.23,121.35,31,2,035 km S 78Åã E of Aritao (Nueva Vizcaya)
30 April 2022 - 05:01 AM,13.96,120.67,21,2,006 km N 73Åã W of Balayan (Batangas)
30 April 2022 - 04:20 AM,7.88,125.75,19,2.4,009 km N 38Åã W of Laak (Davao De Oro)
30 April 2022 - 03:29 AM,11.73,124.24,5,2.8,013 km S 65Åã W of Maripipi (Biliran)
30 April 2022 - 03:29 AM,14.96,122.68,8,3.5,047 km N 52Åã E of Jomalig (Quezon)
30 April 2022 - 02:47 AM,13.86,120.62,87,2,003 km N 21Åã W of Calatagan (Batangas)
30 April 2022 - 02:46 AM,12.99,124.44,6,3.6,028 km S 78Åã E of Prieto Diaz (Sorsogon)
30 April 2022 - 01:49 AM,12.29,125.39,10,2.8,003 km N 29Åã E of Arteche (Eastern Samar)
30 April 2022 - 01:46 AM,9.88,126.09,9,3.3,002 km N 45Åã W of Pilar (Surigao Del Norte)
30 April 2022 - 01:37 AM,19.86,121.13,17,2.7,076 km N 29Åã W of Calayan (Cagayan)
29 April 2022 - 10:50 PM,7.56,124.46,12,2.6,011 km N 64Åã E of Buldon (Maguindanao)
29 April 2022 - 09:43 PM,11.89,124.09,1,3.3,016 km S 40Åã E of Cataingan (Masbate)
29 April 2022 - 08:27 PM,15.17,119.95,18,2,011 km N 87Åã W of Cabangan (Zambales)
29 April 2022 - 07:57 PM,18.1,121.22,27,1.7,010 km N 26Åã E of Kabugao (Apayao)
29 April 2022 - 05:43 PM,11.67,124.3,15,2.6,007 km S 81Åã W of Kawayan (Biliran)
29 April 2022 - 04:40 PM,14.2,120.42,21,2.1,028 km S 17Åã W of Mariveles (Bataan)
29 April 2022 - 03:30 PM,14.22,119.17,34,2.7,110 km N 69Åã W of Lubang (Occidental Mindoro)
29 April 2022 - 02:48 PM,14.25,119.34,15,3.3,095 km N 63Åã W of Lubang (Occidental Mindoro)
29 April 2022 - 02:44 PM,9.72,126.56,5,2.5,045 km S 81Åã E of General Luna (Surigao Del Norte)
29 April 2022 - 12:38 PM,12.48,125.52,9,2.9,029 km N 89Åã E of Mapanas (Northern Samar)
29 April 2022 - 08:09 AM,6.15,126.34,151,3.1,063 km S 28Åã E of Governor Generoso (Davao Oriental)
29 April 2022 - 05:31 AM,7.69,124.87,2,2.1,011 km N 25Åã W of Kadingilan (Bukidnon)
29 April 2022 - 05:04 AM,13.4,120.27,22,2,021 km S 86Åã W of Paluan (Occidental Mindoro)
29 April 2022 - 04:04 AM,16.27,122.36,10,1.8,020 km S 50Åã E of Dilasag (Aurora)
29 April 2022 - 03:05 AM,8.78,126.35,52,2.1,006 km S 70Åã E of Marihatag (Surigao Del Sur)
29 April 2022 - 02:34 AM,18.69,122.14,4,2.8,037 km S 50Åã E of Camiguin Island (Calayan) (Cagayan)
29 April 2022 - 02:32 AM,10.04,125.29,6,1.7,011 km N 23Åã E of Pintuyan (Southern Leyte)
29 April 2022 - 02:18 AM,12.45,121.57,34,1.8,017 km S 20Åã E of Roxas (Oriental Mindoro)
29 April 2022 - 02:12 AM,6.91,124.89,6,2.4,004 km S 18Åã E of M'lang (Cotabato)
29 April 2022 - 01:50 AM,7.06,127.33,6,3.3,089 km S 79Åã E of Manay (Davao Oriental)
29 April 2022 - 01:42 AM,7.08,127.07,37,3.4,061 km S 76Åã E of Manay (Davao Oriental)
29 April 2022 - 12:58 AM,7.69,122.17,9,2.5,004 km S 62Åã E of Siocon (Zamboanga Del Norte)
29 April 2022 - 12:15 AM,14.91,119.78,17,2.6,035 km S 70Åã W of San Narciso (Zambales)
29 April 2022 - 12:14 AM,9.64,126.34,31,2.4,026 km S 53Åã E of General Luna (Surigao Del Norte)
28 April 2022 - 11:53 PM,12.58,125.6,13,3.1,039 km N 73Åã E of Mapanas (Northern Samar)
28 April 2022 - 11:16 PM,6.52,124.37,34,1.9,021 km S 87Åã W of Bagumbayan (Sultan Kudarat)
28 April 2022 - 10:31 PM,10.39,125.18,5,1.9,002 km S 81Åã W of Hinunangan (Southern Leyte)
28 April 2022 - 10:21 PM,9.97,123.34,20,1.8,007 km N 87Åã W of Alcantara (Cebu)
28 April 2022 - 10:11 PM,18.39,121.01,1,2.1,014 km S 54Åã E of Adams (Ilocos Norte)
28 April 2022 - 09:26 PM,15.48,120.17,28,2,023 km S 75Åã E of Masinloc (Zambales)
